,Returns,Risk,Sharpe Ratio,Ccola,Pepsi,Monster,Carlsberg
277,0.1342500375599339,0.1805991171178302,0.6326168111076231,0.31,0.14,0.21,0.34
278,0.13046057712986214,0.1740443164526736,0.6346692576996547,0.28,0.34,0.32,0.06
279,0.10608018724300747,0.16803033839907533,0.5122895547503175,0.32,0.2,0.25,0.23
280,0.16580489557080705,0.20717159211819183,0.7037880728725832,0.38,0.39,0.12,0.1
281,0.12240315602294699,0.16564215328116677,0.6182191790825389,0.14,0.24,0.53,0.09
282,0.11604518732807467,0.1654178985537119,0.5806214936099456,0.18,0.36,0.17,0.29
283,0.1400739454704332,0.17902649009921084,0.6707049074351622,0.28,0.28,0.11,0.34
284,0.12553088757775346,0.17139124674353992,0.6157309056492474,0.3,0.11,0.29,0.31
285,0.11573701599329922,0.16818038118905584,0.5692519859714125,0.14,0.49,0.23,0.14
286,0.14465983539525643,0.1805827486224698,0.6903197362217194,0.03,0.55,0.11,0.31
287,0.10801006565287861,0.16672931417438402,0.5278619784930436,0.29,0.02,0.31,0.38
288,0.10439449967709497,0.17160410713249075,0.49179766782584244,0.36,0.34,0.1,0.2
289,0.1162135850387825,0.16817845083102417,0.5720922303859979,0.46,0.18,0.05,0.31
290,0.1307892421380311,0.18106892702653635,0.6118622557574138,0.35,0.27,0.15,0.23
291,0.16168923779020541,0.20117168108683198,0.7043199968540698,0.4,0.18,0.28,0.14
292,0.1818199771506451,0.22553541471169142,0.7174925381785577,0.04,0.33,0.48,0.15
293,0.14123617032285848,0.1882520268920846,0.6440099069549837,0.09,0.18,0.63,0.11
294,0.11138749895658603,0.16406691470491344,0.5570135765699822,0.34,0.22,0.37,0.07
295,0.1169033678163185,0.16721474384680793,0.5795144948766929,0.3,0.32,0.1,0.28
296,0.13460237717810286,0.1843047391951624,0.6218091714763183,0.27,0.38,0.15,0.21
297,0.11209696165753669,0.16760582249444378,0.549485455140377,0.44,0.03,0.28,0.25
298,0.1233613548721544,0.16886771960011565,0.6120847437089664,0.3,0.44,0.15,0.11
299,0.14222930915755988,0.1769381014840158,0.6908026486799499,0.21,0.41,0.21,0.17
300,0.15913229860222955,0.18907264122835107,0.7358669011990665,0.07,0.29,0.29,0.35
301,0.11252605460430598,0.16634391577357316,0.5562334767341426,0.12,0.06,0.38,0.45
302,0.17850295879546269,0.2263660853346371,0.7002062988417531,0.33,0.26,0.09,0.33
303,0.14597724037919932,0.18006017458964405,0.6996396658300517,0.25,0.04,0.64,0.06
304,0.15872631883715815,0.20145832396581195,0.6886105081500649,0.26,0.02,0.31,0.41
305,0.14739906258303323,0.1778755000315991,0.7162260264083651,0.06,0.38,0.49,0.06
306,0.15111271571849208,0.18932190874918417,0.6925385264955876,0.11,0.02,0.26,0.61
